feature,importance
5g_penetration_rate,0.31345224007750794
mobile_broadband_penetration,0.20276112620028466
log_gdp_per_capita,0.19824580297776911
urbanization_rate,0.1588728437804171
year,0.042092260141373454
region_Middle East & North Africa,0.028687923942149373
region_Sub-Saharan Africa,0.024312122124875945
region_East Asia & Pacific,0.016907041794446315
region_Europe,0.009573603365848336
region_Latin America,0.0028965240006718447
region_South & Southeast Asia,0.0018925432388326212
region_North America,0.0003059683558234589
